source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-315529108201901,27S.15W.26.443,,,31.924816,-108.33921,WGS84,4475.0,ft,695.0,ft,nitrate,mg/L,4,6.64,6.82,6.76,1969-06-03,,6.8,mg/L
WQP,USGS-315601108201101,27S.15W.26.223,,,31.933705,-108.336988,WGS84,4487.0,ft,350.0,ft,nitrate,mg/L,2,11.0,11.07,11.03,1955-03-08,,11.0,mg/L
WQP,USGS-315616108491601,27S.19W.19.433,,,31.937869,-108.821722,WGS84,4415.0,ft,300.0,ft,nitrate,mg/L,2,2.9,2.92,2.91,1948-05-26,,2.9,mg/L
WQP,USGS-315646106374401,MBOWN-168 - 27S.03E.22.134A (ISC-3A/ISC-3M),,,31.945736,-106.628747,WGS84,3780.0,ft,80.5,ft,nitrate,mg/L,1,0.4,0.4,0.4,2005-08-10,,0.39842999999999995,mg/L
WQP,USGS-315654107375801,27S.08W.23.100,,,31.94843,-107.633357,WGS84,4090.0,ft,,ft,nitrate,mg/L,2,1.2,1.2,1.2,1950-01-15,,1.2,mg/L
WQP,USGS-315655107352401,27S.07W.19.200,,,31.948708,-107.590579,WGS84,4054.0,ft,,ft,nitrate,mg/L,2,1.0,1.02,1.01,1950-01-15,,1.0,mg/L
WQP,USGS-315702108530201,27S.20W.21.222,,,31.950646,-108.884501,WGS84,4342.55,ft,240.0,ft,nitrate,mg/L,2,1.59,1.6,1.6,1955-05-23,,1.6,mg/L
WQP,USGS-315708108482001,27S.19W.17.433,,,31.952313,-108.805611,WGS84,4397.0,ft,,ft,nitrate,mg/L,2,3.7,3.72,3.71,1953-05-17,,3.7,mg/L
WQP,USGS-315713108120201,27S.13W.18.442,,,31.953705,-108.201151,WGS84,4860.0,ft,,ft,nitrate,mg/L,2,16.82,17.0,16.91,1958-05-17,,17.0,mg/L
WQP,USGS-315723108504201,27S.20W.13.300,,,31.955091,-108.844779,WGS84,4370.0,ft,,ft,nitrate,mg/L,2,5.76,5.8,5.78,1948-07-29,,5.8,mg/L
WQP,USGS-315740107502401,27S.10W.14.131,,,31.961207,-107.840585,WGS84,4204.0,ft,,ft,nitrate,mg/L,2,1.28,1.3,1.29,1958-05-21,,1.3,mg/L
WQP,USGS-315744107391401,27S.08W.15.131,,,31.962318,-107.654469,WGS84,4104.0,ft,510.0,ft,nitrate,mg/L,2,2.39,2.4,2.4,1952-08-08,,2.4,mg/L
WQP,USGS-315802108500001,27S.20W.12.444A,,,31.967313,-108.833945,WGS84,4376.0,ft,255.0,ft,nitrate,mg/L,2,3.59,3.6,3.59,1966-08-09,,3.6,mg/L
WQP,USGS-315815107234101,27S.05W.07.44431,,,31.97093,-107.395296,WGS84,4001.0,ft,85.0,ft,nitrate,mg/L,2,2.79,2.8,2.79,1958-05-22,,2.8,mg/L
WQP,USGS-315815108364001,27S.17W.07.422,,,31.970925,-108.611718,WGS84,4315.8,ft,82.0,ft,nitrate,mg/L,2,4.8,4.87,4.83,1956-06-07,,4.8,mg/L
WQP,USGS-315824107411601,27S.08W.08.311,,,31.973429,-107.688359,WGS84,4122.0,ft,413.0,ft,nitrate,mg/L,2,0.7,0.71,0.7,1952-08-08,,0.7,mg/L
WQP,USGS-315903107424501,27S.09W.01.431,,,31.984262,-107.713082,WGS84,4124.0,ft,62.0,ft,nitrate,mg/L,2,1.28,1.3,1.29,1954-07-19,,1.3,mg/L
WQP,USGS-315953106391501,MBOWN-140 - 26S.03E.32.441 (USBR-39),,,31.998156,-106.652493,WGS84,3790.07,ft,23.3,ft,nitrate,mg/L,3,1.11,2.61,1.61,2008-02-13,,1.10675,mg/L
WQP,USGS-315954106262501,26S.05E.33.330,,,31.998435,-106.440821,WGS84,4100.0,ft,,ft,nitrate,mg/L,8,0.8,4.5,3.06,1953-12-27,,4.5,mg/L
WQP,USGS-320013106090501,26S.08E.32.100,,,32.003715,-106.151924,WGS84,4102.0,ft,,ft,nitrate,mg/L,2,0.49,0.5,0.49,1953-06-21,,0.5,mg/L
WQP,USGS-320014106353301,26S.03E.36.143,,,32.00399,-106.593047,WGS84,3840.0,ft,269.0,ft,nitrate,mg/L,2,0.2,0.22,0.21,1965-06-05,,0.2,mg/L
WQP,USGS-320021106151401,26S.07E.32.122,,,32.005937,-106.254427,WGS84,4061.2,ft,435.0,ft,nitrate,mg/L,4,0.0,0.0,0.0,1953-03-22,,0.0,mg/L
