OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
11,11,"(458018.30900000036, 3713460.2058000006)",CapitanPassCSA-5785,458018.30900000036,3713460.2058000006,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,5787.0,SanAndres
12,12,"(458966.3005999997, 3712676.4825999998)",CapitanPassCSA-7015,458966.3005999997,3712676.4825999998,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,,SanAndres
13,13,"(465084.68209999986, 3707618.296599999)",CapitanPassCSA-14954,465084.68209999986,3707618.296599999,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6269.0,SanAndres
14,14,"(463937.1743000001, 3708566.9638)",CapitanPassCSA-13465,463937.1743000001,3708566.9638,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6230.0,SanAndres
15,15,"(461747.21300000045, 3710377.4476999994)",CapitanPassCSA-10623,461747.21300000045,3710377.4476999994,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6391.0,SanAndres
16,16,"(462572.1275000004, 3709695.4748)",CapitanPassCSA-11694,462572.1275000004,3709695.4748,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6338.0,SanAndres
17,17,"(462933.2110000001, 3709396.960000001)",CapitanPassCSA-12162,462933.2110000001,3709396.960000001,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6332.0,SanAndres
18,18,"(464428.83210000023, 3708160.5007000007)",CapitanPassCSA-14103,464428.83210000023,3708160.5007000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,SanAndres,6430.0,SanAndres
19,19,"(468851.1649000002, 3707723.8422)",CapitanPeakCSA-3111,468851.1649000002,3707723.8422,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,5741.0,SanAndres
20,20,"(475923.88790000044, 3709952.3036)",CapitanPeakCSA-10526,475923.88790000044,3709952.3036,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,5498.0,SanAndres
21,21,"(473833.44820000045, 3709293.6514)",CapitanPeakCSA-8334,473833.44820000045,3709293.6514,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,5682.0,SanAndres
22,22,"(472884.9319000002, 3708994.794500001)",CapitanPeakCSA-7340,472884.9319000002,3708994.794500001,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,5711.0,SanAndres
23,23,"(476590.4550999999, 3710162.3244000003)",CapitanPeakCSA-11225,476590.4550999999,3710162.3244000003,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,5652.0,SanAndres
24,24,"(475138.2745000003, 3709704.7739000004)",CapitanPeakCSA-9702,475138.2745000003,3709704.7739000004,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SanAndres,,SanAndres
